	input	filtered	denoisedF	denoisedR	merged	nonchim
C2_120_NB12_3	40934	30320	30056	29917	29000	25085
C3_178_0.01_1	31866	23735	23590	23574	23059	22293
C3_178_0.01_2	25038	18196	18066	18038	17683	17175
C3_178_0.01_3	28926	20961	20723	20652	20003	18461
C3_178_1_1	31272	23267	23107	23031	22486	21655
C3_178_1_2	38178	28363	28183	28107	27494	25227
C3_178_1_3	14729	10924	10807	10847	10634	10512
C3_178_100_1	693	497	470	465	452	452
C3_178_100_2	23124	16258	16199	16174	15946	15788
C3_178_100_3	30284	22350	22094	22148	21541	20436
C3_178_NB12_1	37065	27113	26955	26916	26332	24772
C3_178_NB12_2	25979	19502	19322	19295	18713	17574
C3_178_NB12_3	40633	29949	29720	29698	28987	27418
C3_191_0.01_1	26504	19653	19411	19400	18653	16247
C3_191_0.01_2	19080	14353	14276	14183	13861	12923
C3_191_0.01_3	40359	29759	29499	29410	28423	23887
C3_191_1_1	25496	19030	18806	18841	18219	16339
C3_191_1_2	18972	14094	13999	13986	13645	12798
C3_191_1_3	20869	15487	15319	15307	14781	12771
C3_191_100_1	36373	27063	26830	26741	25918	22378
C3_191_100_2	32454	24182	23888	23827	23114	20207
C3_191_100_3	23844	17619	17391	17379	16868	15375
C3_191_NB12_1	25951	19240	19104	19067	18544	16814
C3_191_NB12_2	39631	29066	28822	28773	27864	24022
C3_191_NB12_3	45004	32974	32695	32578	31604	27137
C4_228_0.01_1	33837	24834	24581	24540	23859	21060
C4_228_0.01_2	26668	19651	19485	19427	18750	16224
C4_228_0.01_3	39027	28649	28362	28251	27347	22967
C4_228_1_1	20460	15040	14825	14834	14174	12284
C4_228_1_2	4527	3321	3262	3264	3129	3101
C4_228_1_3	22036	16220	15942	16030	15263	13201
C4_228_100_1	36789	26773	26467	26461	25553	21186
C4_228_100_2	32576	24079	23849	23833	23086	19851
C4_228_100_3	18407	13452	13322	13284	12773	11281
C4_228_NB12_1	33985	24909	24690	24608	23686	20296
C4_228_NB12_2	35553	26041	25792	25731	24991	22075
C4_228_NB12_3	62951	46065	45742	45672	44347	36988
C4_241_0.01_1	46528	33982	33757	33694	32836	28615
C4_241_0.01_2	45570	33487	33243	33181	32383	28734
C4_241_0.01_3	44936	32749	32460	32360	31131	26284
C4_241_1_1	44076	32099	31880	31833	30847	26514
C4_241_1_2	49304	35908	35597	35543	34501	29623
C4_241_1_3	41533	30950	30707	30645	29787	25887
C4_241_100_1	42496	30988	30731	30703	29802	25918
C4_241_100_2	38444	28310	28038	27876	26800	21223
C4_241_100_3	47631	34804	34519	34430	33213	28069
C4_241_NB12_1	43160	31750	31383	31359	30269	25868
C4_241_NB12_2	40759	29727	29525	29441	28770	26138
C4_252_0.01_1	88080	64752	64462	64246	62383	50510
C4_252_0.01_2	105430	76360	75920	75849	73590	58503
C4_252_0.1_3	110309	81170	80712	80463	78134	62398
C4_252_1_1	99150	72755	72247	72272	70004	55837
C4_252_1_2	83409	60224	59936	59775	57949	46038
C4_252_1_3	99966	73370	72963	72806	70519	56365
C4_252_100_1	104015	74985	74557	74355	72244	57407
C4_252_100_2	107498	78302	77927	77774	75731	60554
C4_252_100_3	80204	58454	58175	57953	56287	44822
C4_252_NB12_1	115796	83627	83121	82972	80425	64336
C4_252_NB12_2	90226	65577	65168	65072	63117	50166
C4_252_NB12_3	107557	78063	77676	77443	75525	60148
C4_266_0.01_1	131433	96313	95902	95600	92752	73316
C4_266_0.01_2	108495	80041	79608	79480	76830	61028
C4_266_0.01_3	56309	41731	41352	41190	39161	28210
C4_266_1_1	101644	74768	74348	74223	71791	56297
C4_266_1_2	83923	61722	61317	61277	59335	47185
C4_266_1_3	91535	67327	66990	66869	64651	51649
C4_266_100_1	96636	70409	70022	69814	67620	54352
C4_266_100_2	43955	32435	32178	32155	31037	26449
C4_266_100_3	86157	62595	62156	62127	60076	47910
C4_266_NB12_1	107201	78653	78232	78120	75531	59914
C4_266_NB12_2	92978	67968	67620	67493	65491	51803
