contig	aln_nanopo_out	aln_pacbio_out	MD_3_S11_L001_R_out	SRR7135606_out	SRR7135607_out	SRR7135608_out	SRR7135612_out
opera_contig_75	0.741096	0.00922861	0.546622	20.5646	24.8149	3.23298	1.46252
opera_contig_76	3.91594	0.192163	0.0715164	24.6172	19.9487	3.58964	2.55351
opera_contig_77	0.552564	0.241725	0.425624	21.7198	26.0478	3.27295	1.6997
opera_contig_78	1.50753	11.4709	0.995756	31.0321	32.5367	0.232276	116.718
opera_contig_79	0.0848596	1.2896	18.0677	16.4281	9.63856	0.928119	21.6638
opera_contig_80	0.475179	0.649723	14.8614	8.63933	9.03898	0.354287	11.6301
opera_contig_81	0.569234	0.0528894	0.635428	22.5864	25.9553	3.00108	1.84303
opera_contig_82	0.143133	1.52119	9.98614	2.18223	0.979527	0	68.3423
opera_contig_83	0.00717147	3.00889	1.22958	5.93351	1.39129	0.00534624	89.5021
opera_contig_84	1.62517	1.22991	0.457517	32.8851	21.6869	0.45608	28.7741
opera_contig_85	0	3.07157	1.33984	5.39236	1.23561	0	78.1812
opera_contig_86	0.0996688	1.15086	9.38587	2.39846	0.907169	0	77.493
opera_contig_87	0	3.02924	3.94856	4.8624	1.0935	0.00654139	72.4822
opera_contig_88	0.426014	0.0404267	4.60526	18.8591	20.6603	3.24139	1.45249
opera_contig_89	16.4583	68.5294	102.599	458.405	363.847	829.213	1113.5
opera_contig_90	0	2.80204	0.561176	5.44404	1.15343	0	76.8116
opera_contig_91	0.0958246	3.69195	0.433926	5.59152	1.2465	0.00348529	86.8362
opera_contig_92	19.4082	69.9273	107.147	455.9	346.308	561.283	1207.03
opera_contig_93	1.00475	10.4252	1.032	31.8802	35.7887	0.294891	121.964
opera_contig_94	0.598462	0.273961	11.9869	8.88291	9.23158	0.316452	11.7945
opera_contig_95	0.204913	1.15286	9.55427	2.51067	0.91289	0	75.1963
opera_contig_96	0	0.9095	10.0245	2.48761	1.09457	0	75.8763
opera_contig_97	0.428165	1.82423	0.0211865	3.47851	4.19878	0.0173077	36.091
opera_contig_98	0.986572	0.736594	0.705669	27.0254	22.9015	0.711106	20.9469
opera_contig_99	0.608804	0.410128	12.7932	8.7956	9.05215	0.440344	11.8057
opera_contig_100	0.0482129	2.35127	1.78808	4.93406	1.17694	0.00789182	74.559
opera_contig_101	0.0104865	1.49099	9.32617	2.34895	0.831632	0	75.4148
opera_contig_102	1.14277	0	4.18608	21.1649	25.7732	3.24921	1.56472
opera_contig_103	12.3992	4.94151	173.456	182.694	382.62	15.9543	85.8526
opera_contig_104	0.625078	0.103084	0.437395	21.3326	25.4892	3.05812	1.71666
opera_contig_105	0.778957	1.39848	0.804663	36.9719	24.4111	0.561227	35.6741
opera_contig_106	0.412442	0.0206582	0.687455	21.0085	25.1458	3.17053	1.77982
opera_contig_107	0.895426	1.5815	1.15473	35.5058	25.2592	0.597008	35.7391
opera_contig_108	0.202256	0.0183276	4.23937	18.4601	22.2766	2.97597	1.31784
opera_contig_109	0.308646	2.84623	3.01554	5.13071	1.18552	0	72.2957
opera_contig_110	0.702461	0.599503	3.04431	8.08956	9.11921	0.308196	11.398
opera_contig_111	0	0.939428	10.0941	2.27179	0.899198	0	64.9339
opera_contig_112	0.523504	1.45563	15.724	16.6987	10.1745	1.03743	21.7871
opera_contig_113	0.167864	0.466487	12.7878	8.51957	9.31934	0.326578	11.5092
opera_contig_114	0.0772345	1.0406	0.689476	3.97909	1.18555	0.00460124	24.5534
opera_contig_115	0	2.33757	3.76298	5.79274	1.42336	0.00386431	88.8977
opera_contig_116	0.0180956	2.31309	0.540269	6.26826	1.33569	0.00483364	84.9664
opera_contig_117	0.247216	3.30141	2.69334	5.39995	1.08504	0	71.3178
opera_contig_118	1.28252	2.23756	0.447442	33.8472	22.8235	0.453275	33.2324
opera_contig_119	0.350326	2.70657	1.19659	5.63119	1.21609	0	85.4726
opera_contig_120	0	2.60098	0.961138	5.27019	1.10664	0	72.7461
opera_contig_121	0.894679	2.18422	0.970173	37.6991	26.0942	0.58099	36.8103
opera_contig_122	1.61635	10.9526	2.37923	30.7501	34.0845	0.290638	122.822
opera_contig_123	0	19.6829	0.236603	0.0635458	0.0507408	0	289.157
opera_contig_124	1.93038	1.31923	0.576459	36.6249	24.1086	0.483363	36.0048
opera_contig_125	0.409815	0.00162209	0.551933	22.773	27.247	3.26444	1.67154
opera_contig_126	0.543055	0.56618	15.1102	9.12462	8.65163	0.221407	11.2629
